Date,Open,High,Low,Close,Volume
06-Oct-20,0.27,0.27,0.24,0.24,120438099
05-Oct-20,0.27,0.27,0.26,0.27,104473152
04-Oct-20,0.27,0.27,0.26,0.27,112596366
03-Oct-20,0.27,0.28,0.27,0.27,126034731
02-Oct-20,0.28,0.29,0.25,0.27,177624381
01-Oct-20,0.3,0.31,0.28,0.29,133709003
30-Sep-20,0.29,0.29,0.27,0.29,90605831
29-Sep-20,0.28,0.29,0.28,0.29,89088085
28-Sep-20,0.27,0.3,0.27,0.28,58317802
27-Sep-20,0.28,0.28,0.26,0.27,41257875
26-Sep-20,0.27,0.29,0.27,0.28,52143413
25-Sep-20,0.25,0.28,0.25,0.27,59458992
24-Sep-20,0.23,0.26,0.17,0.25,54446535
23-Sep-20,0.26,0.26,0.23,0.23,112773576
22-Sep-20,0.25,0.27,0.24,0.26,62632189
21-Sep-20,0.28,0.28,0.24,0.24,101748528
20-Sep-20,0.29,0.3,0.27,0.28,100611144
19-Sep-20,0.28,0.29,0.28,0.29,80670955
18-Sep-20,0.3,0.31,0.28,0.28,113429190
17-Sep-20,0.31,0.32,0.29,0.3,113037569
16-Sep-20,0.3,0.31,0.29,0.3,110703308
15-Sep-20,0.32,0.33,0.3,0.3,115560867
14-Sep-20,0.32,0.33,0.31,0.32,107328876
13-Sep-20,0.35,0.35,0.3,0.32,123453442
12-Sep-20,0.35,0.35,0.34,0.35,124852341
11-Sep-20,0.35,0.35,0.33,0.35,141961545
10-Sep-20,0.35,0.38,0.34,0.35,192208310
09-Sep-20,0.3,0.37,0.29,0.35,152329190
08-Sep-20,0.31,0.32,0.29,0.29,89985957
07-Sep-20,0.32,0.32,0.28,0.31,120689768
06-Sep-20,0.29,0.33,0.27,0.32,118794256
05-Sep-20,0.32,0.34,0.27,0.29,104882613
04-Sep-20,0.3,0.33,0.29,0.32,118826091
03-Sep-20,0.39,0.4,0.29,0.3,119325621
02-Sep-20,0.43,0.44,0.36,0.39,147760027
01-Sep-20,0.42,0.46,0.42,0.43,159480442
31-Aug-20,0.43,0.44,0.42,0.42,109280379
30-Aug-20,0.45,0.46,0.43,0.44,112213462
29-Aug-20,0.45,0.46,0.44,0.45,106645006
28-Aug-20,0.44,0.47,0.44,0.45,140361727
27-Aug-20,0.47,0.47,0.42,0.44,165151129
26-Aug-20,0.48,0.5,0.45,0.47,163263361
25-Aug-20,0.54,0.54,0.45,0.48,194323858
24-Aug-20,0.52,0.56,0.51,0.54,148499989
23-Aug-20,0.48,0.54,0.46,0.52,148223671
22-Aug-20,0.45,0.5,0.44,0.48,142679362
21-Aug-20,0.53,0.53,0.44,0.45,174903705
20-Aug-20,0.5,0.56,0.5,0.53,186597730
19-Aug-20,0.47,0.52,0.43,0.5,231180510
18-Aug-20,0.49,0.51,0.44,0.47,153143311
17-Aug-20,0.53,0.58,0.49,0.49,161920475
16-Aug-20,0.54,0.56,0.52,0.53,141412883
15-Aug-20,0.54,0.59,0.51,0.54,201579723
14-Aug-20,0.57,0.65,0.53,0.54,294005263
13-Aug-20,0.45,0.59,0.43,0.57,392498721
12-Aug-20,0.37,0.46,0.35,0.45,155511429
11-Aug-20,0.4,0.42,0.34,0.37,109297427
10-Aug-20,0.36,0.41,0.35,0.4,110538448
09-Aug-20,0.38,0.4,0.35,0.36,101051133
08-Aug-20,0.31,0.39,0.31,0.38,109075674
07-Aug-20,0.31,0.32,0.29,0.31,55238235
06-Aug-20,0.28,0.31,0.28,0.31,68098658
05-Aug-20,0.28,0.29,0.27,0.28,50333049
04-Aug-20,0.26,0.28,0.26,0.28,30984860
03-Aug-20,0.26,0.27,0.25,0.26,30171185
02-Aug-20,0.28,0.28,0.24,0.26,48779937
01-Aug-20,0.28,0.28,0.27,0.28,49398059
31-Jul-20,0.28,0.3,0.27,0.27,63146454
30-Jul-20,0.26,0.29,0.26,0.28,117361637
29-Jul-20,0.27,0.28,0.26,0.26,43119717
28-Jul-20,0.24,0.27,0.24,0.27,53043627
27-Jul-20,0.28,0.28,0.23,0.25,73224943
26-Jul-20,0.27,0.28,0.26,0.28,44803913
25-Jul-20,0.27,0.29,0.27,0.27,39774466
24-Jul-20,0.28,0.28,0.27,0.27,36135553
23-Jul-20,0.3,0.3,0.28,0.28,46487194
22-Jul-20,0.3,0.31,0.3,0.3,43609634
21-Jul-20,0.31,0.32,0.3,0.3,68356585
20-Jul-20,0.34,0.34,0.3,0.31,90487183
19-Jul-20,0.31,0.35,0.3,0.34,64718638
18-Jul-20,0.3,0.32,0.29,0.31,56932544
17-Jul-20,0.31,0.33,0.29,0.3,128324691
16-Jul-20,0.25,0.31,0.23,0.31,181694266
15-Jul-20,0.24,0.26,0.23,0.25,50847253
14-Jul-20,0.23,0.24,0.22,0.24,42008273
13-Jul-20,0.25,0.26,0.23,0.24,54226126
12-Jul-20,0.25,0.25,0.23,0.25,43320885
11-Jul-20,0.22,0.26,0.22,0.25,86415380
10-Jul-20,0.21,0.22,0.2,0.22,30714227
09-Jul-20,0.22,0.22,0.21,0.21,37002896
08-Jul-20,0.21,0.22,0.2,0.22,35372069
07-Jul-20,0.2,0.21,0.2,0.21,25454514
06-Jul-20,0.19,0.21,0.19,0.2,30221959
05-Jul-20,0.19,0.19,0.19,0.19,19315485
04-Jul-20,0.18,0.19,0.18,0.19,20420228
03-Jul-20,0.18,0.19,0.18,0.18,16719474
02-Jul-20,0.19,0.19,0.18,0.18,21407103
01-Jul-20,0.19,0.19,0.18,0.19,17797834
30-Jun-20,0.19,0.19,0.18,0.19,15116345
29-Jun-20,0.19,0.19,0.18,0.19,20199543
28-Jun-20,0.18,0.19,0.18,0.19,21597294
27-Jun-20,0.2,0.2,0.18,0.18,27608263
26-Jun-20,0.21,0.21,0.2,0.2,27601313
25-Jun-20,0.21,0.21,0.2,0.21,24504467
24-Jun-20,0.22,0.23,0.21,0.21,37424738
23-Jun-20,0.21,0.22,0.21,0.22,26813007
22-Jun-20,0.21,0.22,0.21,0.22,21578389
21-Jun-20,0.21,0.21,0.21,0.21,19286932
20-Jun-20,0.21,0.21,0.2,0.21,20373754
19-Jun-20,0.22,0.22,0.21,0.21,23317544
18-Jun-20,0.22,0.22,0.21,0.21,32054800
17-Jun-20,0.21,0.22,0.21,0.22,32758328
16-Jun-20,0.2,0.21,0.2,0.21,26683041
15-Jun-20,0.21,0.21,0.19,0.2,31356871
14-Jun-20,0.21,0.22,0.21,0.21,27653164
13-Jun-20,0.21,0.21,0.2,0.21,17873120
12-Jun-20,0.21,0.21,0.2,0.21,21845238
11-Jun-20,0.22,0.22,0.2,0.2,28369442
10-Jun-20,0.21,0.22,0.21,0.22,24729583
09-Jun-20,0.21,0.22,0.2,0.21,21837957
08-Jun-20,0.21,0.21,0.2,0.21,19910241
07-Jun-20,0.21,0.21,0.2,0.21,19490997
06-Jun-20,0.21,0.21,0.2,0.21,21307565
05-Jun-20,0.21,0.21,0.21,0.21,24813362
04-Jun-20,0.22,0.22,0.21,0.22,26892713
03-Jun-20,0.22,0.22,0.21,0.22,23155922
02-Jun-20,0.22,0.23,0.21,0.22,34311637
01-Jun-20,0.21,0.23,0.21,0.22,53863523
31-May-20,0.22,0.23,0.21,0.21,61562312
30-May-20,0.21,0.22,0.2,0.22,41030627
29-May-20,0.2,0.21,0.2,0.21,36744270
28-May-20,0.2,0.21,0.19,0.21,31573861
27-May-20,0.2,0.21,0.2,0.2,37284934
26-May-20,0.19,0.2,0.19,0.2,46898814
25-May-20,0.18,0.19,0.18,0.19,37607495
24-May-20,0.19,0.19,0.18,0.18,39079025
23-May-20,0.19,0.19,0.18,0.19,33068323
